city,lat,lng,population,city_clean
Narutochō-mitsuishi,34.2039,134.5961,54989,Narutocho-mitsuishi
Minamiuonuma,37.0655,138.8761,54820,Minamiuonuma
Hidaka,35.9078,139.3391,54728,Hidaka
Annaka,36.3408,138.7764,54607,Annaka
Choshi,35.7346,140.8268,54570,Choshi
Nihonmatsu,37.5849,140.4312,54447,Nihonmatsu
Konan,35.0041,136.0847,54392,Konan
Sakurai,34.5187,135.8432,54346,Sakurai
Sado,38.0444,138.3897,54304,Sado
Hamura,35.7672,139.3109,53970,Hamura
Funato,34.2563,135.3113,53714,Funato
Mutsu,41.2928,141.1836,53393,Mutsu
Tōkamachi,37.1421,138.7571,53333,Tokamachi
Naka,36.4574,140.4868,53035,Naka
Usa,33.532,131.3495,52767,Usa
Hanyū,36.1725,139.5485,52740,Hanyu
Minami-Sōma,37.6422,140.9573,52619,Minami-Soma
Miyakojima,24.7901,125.2949,52390,Miyakojima
Shiraoka,36.0191,139.6769,52103,Shiraoka
Shiogama,38.3144,141.022,51999,Shiogama
Imarichō-kō,33.2647,129.8807,51875,Imaricho-ko
Tomiya,38.4,140.8953,51859,Tomiya
Bandō,36.0484,139.8887,51511,Bando
Izumi,32.0905,130.3526,51450,Izumi
Tsukubamirai,35.9631,140.037,51134,Tsukubamirai
Fuchū,34.3926,132.5045,51096,Fuchu
Kyōtango,35.6241,135.0609,50857,Kyotango
Miyako,39.6397,141.9461,50855,Miyako
Goshogawara,40.8077,140.4461,50757,Goshogawara
Sakaidechō,34.3164,133.8605,50577,Sakaidecho
Arao,32.9867,130.4332,50570,Arao
Nichinan,31.6019,131.3787,50518,Nichinan
Susono,35.1739,138.9068,50510,Susono
Yūki,36.2897,139.8715,50218,Yuki
Nakagawa,33.4996,130.4222,50201,Nakagawa
Hamada,34.8993,132.0799,50176,Hamada
Yasu,35.0675,136.0258,50049,Yasu
Miyoshi,34.8057,132.8518,50046,Miyoshi
Satte,36.0781,139.7259,49961,Satte
Hannan,34.3596,135.2397,49794,Hannan
Nanao,37.0431,136.9673,49660,Nanao
Noshiromachi,40.2118,140.0271,49625,Noshiromachi
Tomisato,35.7268,140.3429,49470,Tomisato
Kameyama,34.8558,136.4516,49457,Kameyama
Suzaka,36.6511,138.3073,49393,Suzaka
Asakura,33.4234,130.6655,49254,Asakura
Midori,36.3948,139.2811,49190,Midori
Hikari,33.9619,131.9423,49100,Hikari
Suwa,36.0392,138.114,48972,Suwa
Nomimachi,36.447,136.5541,48860,Nomimachi
Shimotsuchō-kominami,34.1257,135.1722,48811,Shimotsucho-kominami
Chikugo,33.2122,130.5021,48794,Chikugo
Takahama,34.9276,136.9877,48685,Takahama
Omitama,36.2393,140.3526,48555,Omitama
Suzukawa,35.373,139.3839,48532,Suzukawa
Ishigaki,24.3445,124.1852,48258,Ishigaki
Sanmu,35.6029,140.4135,48196,Sanmu
Yamaga,33.0167,130.6913,48181,Yamaga
Ena,35.4492,137.4128,47999,Ena
Kasuya,33.6108,130.4806,47981,Kasuya
Iwakura,35.2794,136.8714,47975,Iwakura
Higashine,38.4313,140.3911,47747,Higashine
